Simulation Run: 20250907_122508
Start Time: 2025-09-07 12:25:08.732428
==================================================

Episode 66: LOST | Length: 801 | Reward: 201.33 | Hero R: 174.89 | Villain R: -26.44
Episode 67: LOST | Length: 801 | Reward: 205.35 | Hero R: 177.57 | Villain R: -27.78
Episode 68: LOST | Length: 801 | Reward: 220.51 | Hero R: 183.68 | Villain R: -36.84
Episode 69: LOST | Length: 801 | Reward: 233.42 | Hero R: 195.61 | Villain R: -37.81
Episode 70: LOST | Length: 801 | Reward: 229.13 | Hero R: 189.42 | Villain R: -39.71
Episode 71: LOST | Length: 801 | Reward: 234.29 | Hero R: 194.86 | Villain R: -39.43
Episode 72: LOST | Length: 801 | Reward: 242.80 | Hero R: 200.53 | Villain R: -42.27
Episode 73: LOST | Length: 801 | Reward: 241.09 | Hero R: 203.39 | Villain R: -37.70
Episode 74: LOST | Length: 801 | Reward: 251.00 | Hero R: 206.00 | Villain R: -45.00
Episode 75: LOST | Length: 801 | Reward: 257.33 | Hero R: 210.22 | Villain R: -47.11
Episode 76: LOST | Length: 801 | Reward: 261.77 | Hero R: 213.18 | Villain R: -48.59
Episode 77: LOST | Length: 801 | Reward: 280.46 | Hero R: 226.97 | Villain R: -53.49
Episode 78: LOST | Length: 801 | Reward: 282.01 | Hero R: 224.68 | Villain R: -57.34
Episode 79: LOST | Length: 801 | Reward: 280.21 | Hero R: 225.47 | Villain R: -54.74
Episode 80: LOST | Length: 801 | Reward: 297.69 | Hero R: 240.46 | Villain R: -57.23
Episode 81: LOST | Length: 801 | Reward: 284.92 | Hero R: 234.61 | Villain R: -50.31
Episode 82: LOST | Length: 801 | Reward: 306.36 | Hero R: 250.24 | Villain R: -56.12
Episode 83: LOST | Length: 801 | Reward: 304.99 | Hero R: 240.00 | Villain R: -65.00
Episode 84: LOST | Length: 801 | Reward: 315.46 | Hero R: 246.97 | Villain R: -68.49
Episode 85: LOST | Length: 801 | Reward: 320.49 | Hero R: 250.32 | Villain R: -70.16
Episode 86: LOST | Length: 801 | Reward: 326.60 | Hero R: 254.40 | Villain R: -72.20
Episode 87: LOST | Length: 801 | Reward: 340.35 | Hero R: 266.90 | Villain R: -73.45
Episode 88: LOST | Length: 801 | Reward: 352.52 | Hero R: 284.35 | Villain R: -68.17
Episode 89: LOST | Length: 801 | Reward: 334.45 | Hero R: 263.63 | Villain R: -70.82
Episode 90: LOST | Length: 801 | Reward: 348.65 | Hero R: 269.10 | Villain R: -79.55
Episode 91: LOST | Length: 1221 | Reward: 781.40 | Hero R: 612.94 | Villain R: -168.47
Episode 92: LOST | Length: 801 | Reward: 361.82 | Hero R: 277.88 | Villain R: -83.94
Episode 93: LOST | Length: 801 | Reward: 365.64 | Hero R: 280.43 | Villain R: -85.21
Episode 94: LOST | Length: 801 | Reward: 385.84 | Hero R: 310.56 | Villain R: -75.28
Episode 95: LOST | Length: 801 | Reward: 376.83 | Hero R: 289.89 | Villain R: -86.94
Episode 96: LOST | Length: 801 | Reward: 390.71 | Hero R: 297.14 | Villain R: -93.57
Episode 97: LOST | Length: 2477 | Reward: 1665.91 | Hero R: 1171.27 | Villain R: -494.64
Episode 98: LOST | Length: 801 | Reward: 416.23 | Hero R: 322.82 | Villain R: -93.41
Episode 99: LOST | Length: 801 | Reward: 432.28 | Hero R: 336.85 | Villain R: -95.43
Episode 100: LOST | Length: 801 | Reward: 429.56 | Hero R: 329.71 | Villain R: -99.85
